"August 10, 2015",2015-08-10
2 march 1988,1988-03-02
october 4 2017,2017-10-04
"7 july, 2016",2016-07-07
"06, FEB 2014",2014-02-06
"10 Nov, 1974",1974-11-10
15-Jun-2011,2011-06-15
18.03.13,2013-03-18
"monday, 24 august, 1981",1981-08-24
"monday, 8 may, 2006",2006-05-08
14-aug-2019,2019-08-14
"august 29, 1986",1986-08-29
February 13 1981,1981-02-13
16 JUNE 2001,2001-06-16
"28 October, 1995",1995-10-28
15 MAY 1988,1988-05-15
"SUNDAY, 21 JULY, 2013",2013-07-21
30 october 2016,2016-10-30
26 Nov 2007,2007-11-26
"11 dec, 1984",1984-12-11
03-aug-2016,2016-08-03
"SUNDAY, 26 JANUARY, 1992",1992-01-26
22 October 1973,1973-10-22
"03, AUG 1985",1985-08-03
"08, mar 1972",1972-03-08
20/06/91,1991-06-20
20 april 1997,1997-04-20
"Monday, 21 March, 1988",1988-03-21
04.07.74,1974-07-04
"May 11, 1984",1984-05-11
06-AUG-2008,2008-08-06
8 nov 2018,2018-11-08
"Saturday, 1 June, 1991",1991-06-01
20 june 1984,1984-06-20
"SATURDAY, 9 AUGUST, 2014",2014-08-09
december 22 2003,2003-12-22
"TUESDAY, 3 DECEMBER, 1996",1996-12-03
30-sep-2013,2013-09-30
23 March 2001,2001-03-23
22 sep 1979,1979-09-22
"January 10, 1988",1988-01-10
3 07 79,1979-07-03
13/10/86,1986-10-13
14 MARCH 2008,2008-03-14
september 5 2006,2006-09-05
"WEDNESDAY, 18 NOVEMBER, 1987",1987-11-18
"Monday, 12 October, 2009",2009-10-12
26 february 1999,1999-02-26
16 September 2009,2009-09-16
"7 mar, 1997",1997-03-07
"August 20, 1994",1994-08-20
"4 dec, 1984",1984-12-04
01/06/79,1979-06-01
03-sep-2004,2004-09-03
2 August 2003,2003-08-02
"9 Mar, 1976",1976-03-09
"SATURDAY, 17 MARCH, 1973",1973-03-17
18.06.77,1977-06-18
26 may 1980,1980-05-26
12/09/12,2012-09-12
20 nov 1980,1980-11-20
22 apr 2016,2016-04-22
23 september 1998,1998-09-23
2 AUGUST 2010,2010-08-02
28 Apr 1974,1974-04-28
08/03/96,1996-03-08
21 December 1995,1995-12-21
20/07/10,2010-07-20
"07, NOV 2001",2001-11-07
"3 January, 2006",2006-01-03
09/02/87,1987-02-09
"August 25, 2007",2007-08-25
13-OCT-1970,1970-10-13
17 04 16,2016-04-17
17 JAN 2019,2019-01-17
18.10.77,1977-10-18
"23, May 2016",2016-05-23
"17, jul 2006",2006-07-17
27 Feb 1988,1988-02-27
14.08.13,2013-08-14
"wednesday, 24 february, 1993",1993-02-24
"Thursday, 4 August, 1977",1977-08-04
21 dec 1989,1989-12-21
3 08 99,1999-08-03
"6 oct, 1980",1980-10-06
16.11.00,2000-11-16
22/03/70,1970-03-22
"20, Feb 2019",2019-02-20
22-Dec-2018,2018-12-22
"4 december, 1987",1987-12-04
25 january 2004,2004-01-25
27.02.82,1982-02-27
19.07.04,2004-07-19
29 March 1977,1977-03-29
20 JULY 2012,2012-07-20
"April 23, 1990",1990-04-23
"25, JUN 2013",2013-06-25
19 07 04,2004-07-19
11.06.11,2011-06-11
15.07.83,1983-07-15
26 may 1980,1980-05-26
12.06.95,1995-06-12
29 December 1980,1980-12-29
15 sep 2006,2006-09-15
"03, FEB 2006",2006-02-03
15 January 1970,1970-01-15
"MONDAY, 4 OCTOBER, 2010",2010-10-04
"22 january, 1992",1992-01-22
2 Apr 2003,2003-04-02
30-apr-1971,1971-04-30
"AUGUST 12, 1977",1977-08-12
13/09/94,1994-09-13
5 december 1990,1990-12-05
18 04 86,1986-04-18
10 december 1973,1973-12-10
"23 May, 1986",1986-05-23
"10 august, 2008",2008-08-10
12-may-1975,1975-05-12
30.10.75,1975-10-30
"22 OCTOBER, 2019",2019-10-22
"january 27, 2003",2003-01-27
"17, SEP 1974",1974-09-17
02 Apr 2006,2006-04-02
23/07/78,1978-07-23
27 SEPTEMBER 1978,1978-09-27
24.11.14,2014-11-24
"monday, 6 may, 2002",2002-05-06
1 06 07,2007-06-01
28 march 1981,1981-03-28
"15, jan 1988",1988-01-15
28.11.05,2005-11-28
"April 12, 2011",2011-04-12
october 18 1998,1998-10-18
31.05.84,1984-05-31
13/09/06,2006-09-13
3 September 2019,2019-09-03
DECEMBER 11 2016,2016-12-11
SEPTEMBER 9 1983,1983-09-09
8 JUL 2018,2018-07-08
march 19 1991,1991-03-19
25 FEB 1997,1997-02-25
"september 16, 2015",2015-09-16
"SUNDAY, 23 MARCH, 2014",2014-03-23
"may 31, 1995",1995-05-31
25 october 1999,1999-10-25
"March 22, 2005",2005-03-22
"Thursday, 21 September, 2000",2000-09-21
27 03 78,1978-03-27
14 NOV 1986,1986-11-14
16 APR 1985,1985-04-16
MAY 11 1974,1974-05-11
3 January 1993,1993-01-03
7 06 71,1971-06-07
13/01/10,2010-01-13
11.09.07,2007-09-11
29 AUGUST 1985,1985-08-29
16/01/10,2010-01-16
"26, Dec 1984",1984-12-26
28 june 1970,1970-06-28
31 oct 1974,1974-10-31
03 mar 2018,2018-03-03
12 DEC 2012,2012-12-12
3 january 1974,1974-01-03
31/07/85,1985-07-31
3 August 1974,1974-08-03
20-Feb-1972,1972-02-20
"26, jun 1992",1992-06-26
28 10 74,1974-10-28
27 december 2004,2004-12-27
"13 march, 1986",1986-03-13
13 12 88,1988-12-13
11 July 2015,2015-07-11
13 JANUARY 2003,2003-01-13
"30 july, 1984",1984-07-30
"Monday, 11 September, 2006",2006-09-11
2 01 79,1979-01-02
24 03 19,2019-03-24
"10, NOV 2008",2008-11-10
18 Mar 2009,2009-03-18
2 mar 2002,2002-03-02
"tuesday, 15 july, 1986",1986-07-15
MARCH 9 2002,2002-03-09
"13 sep, 1997",1997-09-13
"16 Dec, 1982",1982-12-16
"2 june, 1976",1976-06-02
August 6 1976,1976-08-06
5 11 14,2014-11-05
2 may 1999,1999-05-02
10-FEB-1994,1994-02-10
29 10 98,1998-10-29
"TUESDAY, 23 DECEMBER, 1997",1997-12-23
12 october 2001,2001-10-12
13/08/19,2019-08-13
"8 sep, 1973",1973-09-08
"28 oct, 2015",2015-10-28
20.06.14,2014-06-20
21 December 2013,2013-12-21
"12 SEP, 1976",1976-09-12
"FRIDAY, 15 FEBRUARY, 1974",1974-02-15
26 05 97,1997-05-26
22.07.19,2019-07-22
February 2 1993,1993-02-02
"Wednesday, 8 June, 1977",1977-06-08
DECEMBER 3 1986,1986-12-03
14/01/83,1983-01-14
11.12.82,1982-12-11
"30 jun, 2006",2006-06-30
JULY 12 2000,2000-07-12
17 07 79,1979-07-17
September 16 1998,1998-09-16
"27, JUN 1982",1982-06-27
"December 15, 1988",1988-12-15
25.06.01,2001-06-25
31 December 1986,1986-12-31
"17 FEB, 1975",1975-02-17
February 27 2000,2000-02-27
"JUNE 14, 2007",2007-06-14
AUGUST 30 1976,1976-08-30
11 06 73,1973-06-11
19 May 2014,2014-05-19
15-Oct-2006,2006-10-15
"Saturday, 2 January, 1971",1971-01-02
7 May 1976,1976-05-07
01.02.86,1986-02-01
26 April 1981,1981-04-26
"THURSDAY, 28 AUGUST, 1997",1997-08-28
18 JANUARY 2003,2003-01-18
4 october 2002,2002-10-04
18-Jul-1984,1984-07-18
16 apr 1997,1997-04-16
"28 December, 1973",1973-12-28
16 MAR 1981,1981-03-16
"monday, 16 october, 1995",1995-10-16
23 feb 1970,1970-02-23
"july 26, 1996",1996-07-26
"18 jan, 1988",1988-01-18
18 DECEMBER 2000,2000-12-18
May 30 1989,1989-05-30
"October 14, 1998",1998-10-14
"27 MAY, 2017",2017-05-27
"17 SEP, 2019",2019-09-17
27 oct 2007,2007-10-27
"15 Jan, 2015",2015-01-15
21 NOV 2018,2018-11-21
13 02 03,2003-02-13
14 july 1980,1980-07-14
"DECEMBER 3, 1982",1982-12-03
11.03.90,1990-03-11
"24, oct 1984",1984-10-24
24.12.73,1973-12-24
"31, may 2009",2009-05-31
24-Nov-2006,2006-11-24
24 february 1974,1974-02-24
5 may 1991,1991-05-05
21 NOV 1973,1973-11-21
31 may 1973,1973-05-31
"2 OCT, 2009",2009-10-02
12 june 2002,2002-06-12
21 mar 2004,2004-03-21
22 FEB 2006,2006-02-22
"18 sep, 1980",1980-09-18
14 NOVEMBER 1973,1973-11-14
23 july 2004,2004-07-23
15 06 75,1975-06-15
August 24 1982,1982-08-24
AUGUST 31 1974,1974-08-31
"tuesday, 29 june, 2010",2010-06-29
"AUGUST 17, 1974",1974-08-17
"13, dec 2015",2015-12-13
"friday, 3 january, 1986",1986-01-03
"23 jun, 1997",1997-06-23
"27, FEB 1978",1978-02-27
"7 OCT, 2008",2008-10-07
OCTOBER 3 1986,1986-10-03
25 MAY 2009,2009-05-25
JUNE 16 2010,2010-06-16
14 SEP 1972,1972-09-14
"24, Feb 2012",2012-02-24
31.07.75,1975-07-31
"12, jul 1998",1998-07-12
26 SEP 2014,2014-09-26
20-sep-2009,2009-09-20
18-Jun-2008,2008-06-18
"july 29, 2005",2005-07-29
July 13 1991,1991-07-13
30 SEPTEMBER 1987,1987-09-30
25 11 83,1983-11-25
30-Jul-2015,2015-07-30
27/09/18,2018-09-27
"May 20, 1991",1991-05-20
30-Mar-1986,1986-03-30
28 january 1988,1988-01-28
7 DECEMBER 1996,1996-12-07
27 Nov 1978,1978-11-27
16 september 2015,2015-09-16
"05, Dec 2013",2013-12-05
"1 Jun, 1990",1990-06-01
"FEBRUARY 11, 2001",2001-02-11
8 july 1991,1991-07-08
"december 9, 1974",1974-12-09
20 Aug 1970,1970-08-20
"Friday, 9 March, 2001",2001-03-09
"08, apr 2012",2012-04-08
24 April 2008,2008-04-24
"21 oct, 1976",1976-10-21
26 December 1974,1974-12-26
"Wednesday, 2 August, 2006",2006-08-02
july 3 1984,1984-07-03
4 june 2004,2004-06-04
18.01.88,1988-01-18
"6 January, 1979",1979-01-06
"1 october, 1993",1993-10-01
06-sep-1974,1974-09-06
16 august 1986,1986-08-16
"23 Feb, 1995",1995-02-23
24 may 1989,1989-05-24
25 09 80,1980-09-25
"27 oct, 1999",1999-10-27
19-Dec-2006,2006-12-19
"Thursday, 16 November, 2017",2017-11-16
3 august 1990,1990-08-03
17 Aug 2011,2011-08-17
"3 jul, 2014",2014-07-03
29 Dec 2005,2005-12-29
14 JULY 1970,1970-07-14
13 Jun 2015,2015-06-13
28 SEP 2007,2007-09-28
17-May-1990,1990-05-17
22 FEBRUARY 2015,2015-02-22
18 january 1977,1977-01-18
"Tuesday, 20 February, 1979",1979-02-20
31 december 1987,1987-12-31
8 nov 1977,1977-11-08
14-apr-1977,1977-04-14
25 aug 2007,2007-08-25
30 JULY 1980,1980-07-30
14 jul 1988,1988-07-14
5 MARCH 1989,1989-03-05
28 feb 2011,2011-02-28
02/05/84,1984-05-02
1 november 2018,2018-11-01
2 05 93,1993-05-02
09-NOV-1983,1983-11-09
"13, oct 2016",2016-10-13
"28 FEB, 2013",2013-02-28
"19 dec, 1987",1987-12-19
24 MAY 2004,2004-05-24
31 Mar 2003,2003-03-31
02-Feb-1987,1987-02-02
16 JUN 1973,1973-06-16
13-APR-1976,1976-04-13
1 March 2013,2013-03-01
OCTOBER 29 1998,1998-10-29
29-OCT-1988,1988-10-29
31-DEC-1972,1972-12-31
"30, Mar 1970",1970-03-30
september 12 1992,1992-09-12
"26 Nov, 1978",1978-11-26
10 MAY 2013,2013-05-10
29 oct 1987,1987-10-29
"30, DEC 1980",1980-12-30
january 25 2000,2000-01-25
18 07 07,2007-07-18
8 Jan 2018,2018-01-08
8 february 1999,1999-02-08
3 march 2008,2008-03-03
29 august 1970,1970-08-29
12 AUG 1977,1977-08-12
14 FEBRUARY 1975,1975-02-14
9 JAN 2017,2017-01-09
"FRIDAY, 22 FEBRUARY, 1980",1980-02-22
16 FEBRUARY 2007,2007-02-16
14 JUNE 1972,1972-06-14
15-feb-1995,1995-02-15
22.08.09,2009-08-22
AUGUST 8 2007,2007-08-08
29 Jan 1980,1980-01-29
"1 APRIL, 1999",1999-04-01
3 09 78,1978-09-03
05.11.72,1972-11-05
"December 23, 1990",1990-12-23
25-OCT-1994,1994-10-25
18 SEPTEMBER 1972,1972-09-18
"08, MAY 1994",1994-05-08
"18 APR, 1984",1984-04-18
"31 MAY, 2016",2016-05-31
25 december 1986,1986-12-25
21 may 2015,2015-05-21
"29 DEC, 1976",1976-12-29
"25, Jan 1994",1994-01-25
06.02.08,2008-02-06
27 August 1997,1997-08-27
"27, Mar 2012",2012-03-27
08/07/80,1980-07-08
"MONDAY, 10 FEBRUARY, 1986",1986-02-10
january 22 1981,1981-01-22
"18, jan 1982",1982-01-18
January 21 1998,1998-01-21
"9 sep, 1971",1971-09-09
17.03.82,1982-03-17
9 AUGUST 1992,1992-08-09
7 01 98,1998-01-07
03-aug-2015,2015-08-03
21 November 1986,1986-11-21
27 February 1988,1988-02-27
31 10 80,1980-10-31
"September 21, 2017",2017-09-21
10 may 1977,1977-05-10
13 january 1996,1996-01-13
20 AUG 1972,1972-08-20
"JANUARY 12, 2002",2002-01-12
"19 Feb, 1985",1985-02-19
1 august 1983,1983-08-01
28 april 2001,2001-04-28
october 17 1993,1993-10-17
"October 8, 1990",1990-10-08
27 06 85,1985-06-27
03 MAR 1985,1985-03-03
"thursday, 12 august, 1971",1971-08-12
"01, Dec 2014",2014-12-01
22 02 83,1983-02-22
FEBRUARY 11 1997,1997-02-11
"sunday, 3 may, 1992",1992-05-03
"16 DECEMBER, 1988",1988-12-16
22.09.74,1974-09-22
"29 dec, 1988",1988-12-29
23-NOV-1993,1993-11-23
27 08 13,2013-08-27
31 August 2004,2004-08-31
14 MAR 1997,1997-03-14
"29 march, 2016",2016-03-29
28-Jun-2006,2006-06-28
"JULY 14, 1992",1992-07-14
"18 nov, 1971",1971-11-18
6 11 77,1977-11-06
"11 oct, 1987",1987-10-11
"25 february, 1982",1982-02-25
05 Jul 2009,2009-07-05
"25 jan, 1988",1988-01-25
"8 Aug, 1972",1972-08-08
18 may 1977,1977-05-18
06.08.10,2010-08-06
"July 29, 1999",1999-07-29
11 JUL 1993,1993-07-11
31 July 2019,2019-07-31
"May 7, 1991",1991-05-07
12 Sep 1999,1999-09-12
"April 3, 2011",2011-04-03
"october 20, 2004",2004-10-20
"14 Nov, 1977",1977-11-14
19 MARCH 1996,1996-03-19
"28 march, 2009",2009-03-28
"8 Dec, 1982",1982-12-08
"may 3, 1987",1987-05-03
8 january 1973,1973-01-08
"26, mar 2018",2018-03-26
"SATURDAY, 4 SEPTEMBER, 1999",1999-09-04
12/02/70,1970-02-12
19 May 2005,2005-05-19
23 August 2006,2006-08-23
27 Sep 2016,2016-09-27
"16 DEC, 2018",2018-12-16
21 AUGUST 2015,2015-08-21
"may 30, 1983",1983-05-30
"October 14, 1994",1994-10-14
08-may-1999,1999-05-08
06/10/74,1974-10-06
15 Mar 2015,2015-03-15
21-JUN-1992,1992-06-21
MAY 28 2012,2012-05-28
13 May 1991,1991-05-13
22 02 15,2015-02-22
"JUNE 25, 1978",1978-06-25
"DECEMBER 24, 2018",2018-12-24
9 june 1990,1990-06-09
"july 5, 2004",2004-07-05
"18, JAN 1991",1991-01-18
"Wednesday, 20 May, 2015",2015-05-20
"thursday, 16 october, 1997",1997-10-16
13 Mar 1992,1992-03-13
MAY 20 1997,1997-05-20
"12 Jun, 2017",2017-06-12
13 FEBRUARY 1990,1990-02-13
23.09.07,2007-09-23
30/08/78,1978-08-30
January 21 1983,1983-01-21
12 aug 1998,1998-08-12
1 april 2015,2015-04-01
20 October 1995,1995-10-20
"3 february, 2016",2016-02-03
"04, nov 1981",1981-11-04
20 november 2011,2011-11-20
23-Sep-2008,2008-09-23
"25, jun 1990",1990-06-25
"20 aug, 1997",1997-08-20
"MONDAY, 16 APRIL, 2007",2007-04-16
11 01 70,1970-01-11
"5 SEP, 1990",1990-09-05
11 07 89,1989-07-11
21.04.84,1984-04-21
03.04.99,1999-04-03
20 06 09,2009-06-20
14-APR-2011,2011-04-14
21 july 2014,2014-07-21
6 12 91,1991-12-06
23 August 2001,2001-08-23
"24 Jan, 2000",2000-01-24
"WEDNESDAY, 2 FEBRUARY, 2000",2000-02-02
"December 23, 2015",2015-12-23
17-jul-1984,1984-07-17
14 oct 2004,2004-10-14
"15, Mar 2002",2002-03-15
19 july 1981,1981-07-19
01/11/14,2014-11-01
9 OCT 1975,1975-10-09
"24, Apr 1989",1989-04-24
28.01.05,2005-01-28
"MARCH 6, 2015",2015-03-06
JANUARY 26 2013,2013-01-26
"21, feb 2012",2012-02-21
"FRIDAY, 23 OCTOBER, 1992",1992-10-23
"10, MAY 1976",1976-05-10
25 12 85,1985-12-25
14 10 15,2015-10-14
15.02.91,1991-02-15
15 Apr 1985,1985-04-15
21/07/83,1983-07-21
11 january 1980,1980-01-11
31-aug-1971,1971-08-31
22 february 1973,1973-02-22
30 August 1986,1986-08-30
2 may 2002,2002-05-02
"7 august, 2011",2011-08-07
"DECEMBER 16, 1974",1974-12-16
28 dec 2000,2000-12-28
March 15 1998,1998-03-15
8 NOVEMBER 2012,2012-11-08
march 5 2009,2009-03-05
"26 Mar, 1983",1983-03-26
19 NOVEMBER 2018,2018-11-19
"MAY 21, 2017",2017-05-21
"February 17, 1996",1996-02-17
23-Aug-2003,2003-08-23
13/03/97,1997-03-13
"9 August, 1986",1986-08-09
"16 jan, 1980",1980-01-16
24 08 14,2014-08-24
"16, oct 2016",2016-10-16
"May 18, 1970",1970-05-18
03-Apr-1977,1977-04-03
"7 Dec, 1998",1998-12-07
"22, nov 1984",1984-11-22
20.12.81,1981-12-20
10 05 17,2017-05-10
31 03 05,2005-03-31
12.08.01,2001-08-12
2 06 73,1973-06-02
07-DEC-2007,2007-12-07
16/12/86,1986-12-16
5 APR 1978,1978-04-05
23-jan-2001,2001-01-23
"sunday, 28 january, 1979",1979-01-28
14 AUG 2001,2001-08-14
6 JUNE 2015,2015-06-06
"22, FEB 2006",2006-02-22
14.01.08,2008-01-14
10 07 10,2010-07-10
"AUGUST 5, 1991",1991-08-05
"13, Feb 2000",2000-02-13
10 Sep 2011,2011-09-10
12 december 2018,2018-12-12
"Saturday, 8 May, 2004",2004-05-08
"15 Jan, 1999",1999-01-15
"april 14, 2007",2007-04-14
06-MAY-2000,2000-05-06
"30 october, 1980",1980-10-30
21/04/02,2002-04-21
17 AUG 2000,2000-08-17
22-AUG-1987,1987-08-22
29-Oct-1986,1986-10-29
24 05 13,2013-05-24
14/11/88,1988-11-14
"Wednesday, 22 June, 2005",2005-06-22
DECEMBER 23 2002,2002-12-23
25-Aug-2012,2012-08-25
"13, apr 1986",1986-04-13
"september 8, 1988",1988-09-08
8 december 1999,1999-12-08
april 10 1975,1975-04-10
23 Jul 2018,2018-07-23
11 June 1989,1989-06-11
DECEMBER 16 1985,1985-12-16
28-jun-1988,1988-06-28
8 november 1992,1992-11-08
4 October 1991,1991-10-04
"04, oct 2006",2006-10-04
26/06/75,1975-06-26
2 Jun 1979,1979-06-02
6 APRIL 1980,1980-04-06
"27 SEPTEMBER, 1985",1985-09-27
25 January 1996,1996-01-25
"23 MAR, 2017",2017-03-23
may 25 1980,1980-05-25
"27 January, 2018",2018-01-27
"23 JUL, 1984",1984-07-23
"16, May 1974",1974-05-16
26 MARCH 1998,1998-03-26
"26 sep, 1997",1997-09-26
08/07/92,1992-07-08
"December 4, 2006",2006-12-04
15 SEP 2001,2001-09-15
"18 apr, 1998",1998-04-18
28-MAR-1974,1974-03-28
28 january 1984,1984-01-28
04-Aug-1998,1998-08-04
3 Jul 1996,1996-07-03
30 SEP 2009,2009-09-30
"1 May, 2017",2017-05-01
01-may-1971,1971-05-01
"March 5, 2009",2009-03-05
20 Nov 1995,1995-11-20
17.06.02,2002-06-17
27 May 1970,1970-05-27
"december 9, 1993",1993-12-09
28 APR 1990,1990-04-28
16 July 1996,1996-07-16
7 JULY 1998,1998-07-07
17 august 2006,2006-08-17
2 march 2007,2007-03-02
19 01 11,2011-01-19
03-JAN-1985,1985-01-03
"March 24, 2003",2003-03-24
06-Dec-1984,1984-12-06
28-Jul-1988,1988-07-28
august 29 1999,1999-08-29
"18 JANUARY, 2003",2003-01-18
"23, dec 1971",1971-12-23
18 06 96,1996-06-18
15 Nov 1992,1992-11-15
"July 8, 2015",2015-07-08
"march 20, 2016",2016-03-20
7 Jul 1997,1997-07-07
13 April 2019,2019-04-13
"26, Mar 1981",1981-03-26
22 october 2001,2001-10-22
"friday, 8 september, 1978",1978-09-08
6 may 2012,2012-05-06
07-may-2006,2006-05-07
"02, NOV 1971",1971-11-02
OCTOBER 24 1996,1996-10-24
"April 12, 2010",2010-04-12
"29, MAY 2008",2008-05-29
12/02/15,2015-02-12
5 nov 1971,1971-11-05
18.09.75,1975-09-18
27 september 2013,2013-09-27
3 March 1999,1999-03-03
"27, mar 1979",1979-03-27
02-JUN-2001,2001-06-02
14 May 1982,1982-05-14
03-jun-1973,1973-06-03
15 SEP 1987,1987-09-15
"19 Oct, 1995",1995-10-19
11 april 1992,1992-04-11
27 May 1984,1984-05-27
December 10 2000,2000-12-10
29.03.92,1992-03-29
19 december 1992,1992-12-19
October 20 1995,1995-10-20
8 12 88,1988-12-08
9 Sep 1998,1998-09-09
3 03 87,1987-03-03
"29 jul, 1975",1975-07-29
02 Jan 2002,2002-01-02
"TUESDAY, 27 APRIL, 1971",1971-04-27
16 SEPTEMBER 2006,2006-09-16
18-JUL-1973,1973-07-18
25 10 93,1993-10-25
"5 April, 1985",1985-04-05
30/03/14,2014-03-30
02 SEP 1974,1974-09-02
09/05/14,2014-05-09
27 sep 1972,1972-09-27
february 11 1972,1972-02-11
October 30 1986,1986-10-30
27 Jul 1983,1983-07-27
22-MAY-1971,1971-05-22
"13 APR, 2012",2012-04-13
15 MAY 1980,1980-05-15
27 MAR 1986,1986-03-27
"4 august, 1978",1978-08-04
24-MAR-2002,2002-03-24
"JULY 23, 2015",2015-07-23
14 Oct 1977,1977-10-14
"18 MAY, 2008",2008-05-18
"OCTOBER 31, 1984",1984-10-31
"24, AUG 2001",2001-08-24
"07, AUG 2017",2017-08-07
9 June 1987,1987-06-09
7 Feb 1995,1995-02-07
02 Jun 1981,1981-06-02
26 march 2011,2011-03-26
APRIL 29 2011,2011-04-29
"NOVEMBER 19, 2018",2018-11-19
17-Oct-1977,1977-10-17
"february 22, 1981",1981-02-22
"Saturday, 2 March, 1991",1991-03-02
"10, May 1977",1977-05-10
"19 may, 2009",2009-05-19
01 OCT 1971,1971-10-01
25 March 1991,1991-03-25
"Sunday, 8 March, 2009",2009-03-08
february 4 2016,2016-02-04
17-jul-1995,1995-07-17
"28 DECEMBER, 1996",1996-12-28
28.08.18,2018-08-28
1 july 1983,1983-07-01
"TUESDAY, 4 MARCH, 1975",1975-03-04
17 APRIL 2010,2010-04-17
"FRIDAY, 30 DECEMBER, 2016",2016-12-30
"07, Sep 2012",2012-09-07
july 12 1986,1986-07-12
7 December 1976,1976-12-07
"11 JUN, 2017",2017-06-11
10 07 90,1990-07-10
"july 25, 2016",2016-07-25
10 november 2010,2010-11-10
28-MAR-1978,1978-03-28
"6 jul, 2008",2008-07-06
OCTOBER 17 1972,1972-10-17
"17, aug 1993",1993-08-17
3 april 2006,2006-04-03
25 feb 1999,1999-02-25
"7 Jan, 2015",2015-01-07
21/03/95,1995-03-21
"SEPTEMBER 10, 1974",1974-09-10
06-JUN-2004,2004-06-06
"24, jan 2014",2014-01-24
"22 MAR, 1993",1993-03-22
"11 Nov, 1970",1970-11-11
2 August 1998,1998-08-02
"12 MAY, 2003",2003-05-12
08/03/77,1977-03-08
03-Jul-1999,1999-07-03
25 august 1994,1994-08-25
"2 APRIL, 2013",2013-04-02
14/04/01,2001-04-14
18 FEBRUARY 2018,2018-02-18
"30 May, 1980",1980-05-30
21 august 1999,1999-08-21
26.12.81,1981-12-26
04 JUL 2005,2005-07-04
april 7 2014,2014-04-07
18 05 88,1988-05-18
NOVEMBER 30 2011,2011-11-30
16-aug-2006,2006-08-16
26-Nov-2002,2002-11-26
20 aug 2001,2001-08-20
23 AUGUST 1999,1999-08-23
30 September 2019,2019-09-30
"27, apr 2010",2010-04-27
07.04.88,1988-04-07
7 dec 1991,1991-12-07
15 SEPTEMBER 1986,1986-09-15
25 Nov 1975,1975-11-25
24 12 88,1988-12-24
"September 4, 2000",2000-09-04
6 08 86,1986-08-06
16 08 01,2001-08-16
"11 OCTOBER, 2008",2008-10-11
14/07/11,2011-07-14
21 Jun 2015,2015-06-21
"MONDAY, 16 OCTOBER, 1995",1995-10-16
NOVEMBER 22 1992,1992-11-22
"Wednesday, 15 December, 1971",1971-12-15
22 AUGUST 2003,2003-08-22
13-feb-1992,1992-02-13
"may 17, 1982",1982-05-17
"7 March, 2003",2003-03-07
8 06 84,1984-06-08
23.02.94,1994-02-23
"01, AUG 1987",1987-08-01
28 February 1993,1993-02-28
11 january 1989,1989-01-11
27 July 2010,2010-07-27
19/09/17,2017-09-19
19 OCTOBER 1988,1988-10-19
"28 oct, 2007",2007-10-28
september 10 1970,1970-09-10
"Saturday, 26 February, 2005",2005-02-26
1 jan 1983,1983-01-01
